,category,text,labels
0,health,SAP發表巨量資料分析策略,1
1,health,嘉市查化粧品共33件違規,1
2,sports,陳致遠,3
3,travel,雲林》口湖吃喝玩樂水噹噹之旅,5
4,health,戒菸吧!每20分就1人死於菸害疾病,1
5,politics,在野反美牛,2
6,edu,國中販毒,0
7,politics,鄭爆粗口為弱勢?,2
8,sports,成棒甲組聯賽,3
9,politics,綜合》中華奧會與索羅門奧會簽交流合作協議,2
10,sports,編輯部啟事,3
11,tech,英特爾推無線新技術,4
12,health,含瘦肉精,1
13,sports,連4場開轟鍾承佑棒子燙,3
14,politics,看蘭展,2
15,edu,六旬校長圓夢,0
16,sports,王建民:腿傷未惡化感覺OK,3
17,travel,台北/「醉」醬燒老滷汁是精華,5
18,edu,台銀辦學貸,0
19,sports,楊淑君搭上倫奧列車,3
20,sports,中華職棒》剛起步偏受傷,3
21,edu,金門昆蟲展,0
22,politics,扁明戒護就醫,2
23,politics,1700美元保衛戰!金價暴跌後恐震盪,2
24,travel,直航黃山/黃山嚐徽州菜,5
25,sports,鋒仔大師兄找回手感,3
26,sports,豪小子製造犯規尼克優勢,3
27,travel,金瓜石》寬宿希臘藍臥進雙眼,5
28,health,消失密道重啟大遠百送悠遊卡,1
29,travel,高雄/旅遊新亮點旗津貝殼館看活化石,5
30,tech,《暗黑破壞神III》台版封測正式啟動!官方釋出常見問答集,4
31,tech,台北市好停車QR程式,4
32,travel,古都紅葉、大師建築日本美學之旅,5
33,sports,<千奇百怪>狂蛛飛毛腿,3
34,sports,MLB/遊騎兵二號先發Harrison,3
35,travel,遠東航空,5
36,politics,陳,2
37,travel,韓國/韓國寺廟被楓紅深深擁抱,5
38,tech,三星70億美元,4
39,sports,建仔熱身賽表現總教練肯定,3
40,politics,推動性別平等,2
41,edu,首次提供第一階段篩選數據...大學甄選只公布最低級分,0
42,tech,Burberry,4
43,health,新北查封裕賀美牛793公斤,1
44,health,林廷諺號召百人,1
45,health,乳房X光檢查最好過50歲,1
46,sports,今彩539開獎,3
47,sports,連3天出賽,3
48,travel,苗栗》醉陶工作室慢遊忘憂,5
